Date,High,Low,Adj Close,Open,Volume,Close,Interest,Currency,Inflation,Day,Month
2021-10-07,338.839996,328.980011,329.220001,337,28307500,329.220001,1.58,0.7301762,6.2,7,10
2021-10-08,333.399994,328.709991,330.049988,331.51001,15946100,330.049988,1.58,0.7301762,6.2,8,10
2021-10-11,330.459991,325.309998,325.450012,327.630005,14708200,325.450012,1.58,0.7301762,6.2,11,10
2021-10-12,324.380005,317.369995,323.769989,323.029999,31658700,323.769989,1.58,0.7301762,6.2,12,10
2021-10-13,327,322.660004,324.540009,326.970001,14761500,324.540009,1.58,0.7301762,6.2,13,10
2021-10-14,330.519989,327.100006,328.529999,328.359985,14302200,328.529999,1.58,0.7301762,6.2,14,10
2021-10-15,329.070007,322.51001,324.76001,328.679993,21596400,324.76001,1.58,0.7301762,6.2,15,10
2021-10-18,335.890015,327.5,335.339996,328.950012,21585000,335.339996,1.58,0.7301762,6.2,18,10
2021-10-19,342.459991,337.279999,339.98999,339.649994,18786300,339.98999,1.58,0.7301762,6.2,19,10
2021-10-20,343.980011,339.450012,340.779999,343.450012,13639500,340.779999,1.58,0.7301762,6.2,20,10
2021-10-21,342.309998,337.799988,341.880005,340.279999,16354400,341.880005,1.58,0.7301762,6.2,21,10
2021-10-22,329.630005,321.109985,324.609985,326.350006,35224500,324.609985,1.58,0.7301762,6.2,22,10
2021-10-25,329.559998,319.720001,328.690002,320.299988,38409000,328.690002,1.58,0.7301762,6.2,25,10
2021-10-26,330.209991,309.600006,315.809998,328.26001,65654000,315.809998,1.58,0.7301762,6.2,26,10
2021-10-27,319.25,312.059998,312.220001,314.190002,29971800,312.220001,1.58,0.7301762,6.2,27,10
2021-10-28,325.519989,308.109985,316.920013,312.98999,50806800,316.920013,1.58,0.7301762,6.2,28,10
2021-10-29,326,319.600006,323.570007,320.190002,37059400,323.570007,1.58,0.7301762,6.2,29,10
2021-11-01,333.450012,326,329.980011,326.040009,31518900,329.980011,1.56,0.7437059,6.8,1,11
2021-11-02,334.790009,323.799988,328.079987,331.380005,28353000,328.079987,1.56,0.7437059,6.8,2,11
2021-11-03,332.149994,323.200012,331.619995,327.48999,20786500,331.619995,1.56,0.7437059,6.8,3,11
2021-11-04,337.269989,332.649994,335.850006,334.01001,22495300,335.850006,1.56,0.7437059,6.8,4,11
2021-11-05,346.790009,339.640015,341.130005,340.309998,26872800,341.130005,1.56,0.7437059,6.8,5,11
2021-11-08,344.790009,338.339996,338.619995,344.420013,18342500,338.619995,1.56,0.7437059,6.8,8,11
2021-11-09,341.309998,334.470001,335.369995,340,17556700,335.369995,1.56,0.7437059,6.8,9,11
2021-11-10,333.190002,325.51001,327.640015,332.48999,21872600,327.640015,1.56,0.7437059,6.8,10,11
2021-11-11,332.459991,327,327.73999,329.820007,12376600,327.73999,1.56,0.7437059,6.8,11,11
2021-11-12,341.859985,329.779999,340.890015,330.179993,25414300,340.890015,1.56,0.7437059,6.8,12,11
2021-11-15,353.649994,343.200012,347.559998,344.339996,25076600,347.559998,1.56,0.7437059,6.8,15,11
2021-11-16,346.649994,340.869995,342.959991,343.829987,18181100,342.959991,1.56,0.7437059,6.8,16,11
2021-11-17,347.299988,340.100006,340.769989,344.23999,13602800,340.769989,1.56,0.7437059,6.8,17,11
2021-11-18,342.459991,335.299988,338.690002,339.720001,17487200,338.690002,1.56,0.7437059,6.8,18,11
2021-11-19,352.100006,339.899994,345.299988,342.200012,26488500,345.299988,1.56,0.7437059,6.8,19,11
2021-11-22,353.829987,340.51001,341.01001,349.049988,27116800,341.01001,1.56,0.7437059,6.8,22,11
2021-11-23,341.399994,333.5,337.25,338.929993,17225000,337.25,1.56,0.7437059,6.8,23,11
2021-11-24,341.779999,332.809998,341.059998,336,13566200,341.059998,1.56,0.7437059,6.8,24,11
2021-11-26,337.75,331.899994,333.119995,335.799988,14750700,333.119995,1.56,0.7437059,6.8,26,11
2021-11-29,340.670013,335.309998,338.029999,336.890015,16650900,338.029999,1.56,0.7437059,6.8,29,11
2021-11-30,335.809998,323.429993,324.459991,335,25390000,324.459991,1.56,0.7437059,6.8,30,11
2021-12-01,330.5,310.290009,310.600006,330.290009,30329600,310.600006,1.47,0.7511087,7,1,12
2021-12-02,314.600006,307.200012,310.390015,311.399994,24396200,310.390015,1.47,0.7511087,7,2,12
2021-12-03,313.75,299.5,306.839996,313.730011,27471000,306.839996,1.47,0.7511087,7,3,12
2021-12-06,320.100006,306.339996,317.869995,308.130005,21758300,317.869995,1.47,0.7511087,7,6,12
2021-12-07,326.540009,321,322.809998,321.570007,18794000,322.809998,1.47,0.7511087,7,7,12
2021-12-08,332.75,323.070007,330.559998,325,19937700,330.559998,1.47,0.7511087,7,8,12
2021-12-09,336.130005,328,329.820007,329.540009,16879200,329.820007,1.47,0.7511087,7,9,12
2021-12-10,335.029999,326.369995,329.75,332.559998,14528000,329.75,1.47,0.7511087,7,10,12
2021-12-13,341.089996,329.589996,334.48999,330.950012,22948700,334.48999,1.47,0.7511087,7,13,12
2021-12-14,335.700012,327.649994,333.73999,328.049988,20461000,333.73999,1.47,0.7511087,7,14,12
2021-12-15,342.109985,323.980011,341.660004,332.48999,24681300,341.660004,1.47,0.7511087,7,15,12
2021-12-16,344.459991,333.73999,334.899994,338.980011,22635000,334.899994,1.47,0.7511087,7,16,12
2021-12-17,337.109985,330.75,333.790009,332.799988,40012600,333.790009,1.47,0.7511087,7,17,12
2021-12-20,329.899994,322.529999,325.450012,329.779999,17901800,325.450012,1.47,0.7511087,7,20,12
2021-12-21,336,323.75,334.200012,326.410004,16116800,334.200012,1.47,0.7511087,7,21,12
2021-12-22,334.51001,328.26001,330.450012,333.799988,16764600,330.450012,1.47,0.7511087,7,22,12
2021-12-23,336.670013,328.359985,335.23999,330.100006,13987700,335.23999,1.47,0.7511087,7,23,12
2021-12-27,347.869995,338.01001,346.179993,338.850006,17795000,346.179993,1.47,0.7511087,7,27,12
2021-12-28,352.709991,345.200012,346.220001,346.630005,16637600,346.220001,1.47,0.7511087,7,28,12
2021-12-29,349.690002,341.640015,342.940002,346.910004,10747000,342.940002,1.47,0.7511087,7,29,12
2021-12-30,347.230011,343.220001,344.359985,344,10593300,344.359985,1.47,0.7511087,7,30,12
2021-12-31,343.440002,336.269989,336.350006,343.019989,12870500,336.350006,1.47,0.7511087,7,31,12
2022-01-03,341.079987,337.190002,338.540009,338.299988,14537900,338.540009,1.76,0.7376738,7.5,3,1
2022-01-04,343.089996,331.869995,336.529999,339.950012,15998000,336.529999,1.76,0.7376738,7.5,4,1
2022-01-05,335.76001,323.839996,324.170013,333.019989,20564500,324.170013,1.76,0.7376738,7.5,5,1
2022-01-06,339.170013,322.720001,332.459991,322.820007,27962800,332.459991,1.76,0.7376738,7.5,6,1
2022-01-07,337,328.880005,331.790009,332.73999,14722000,331.790009,1.76,0.7376738,7.5,7,1
2022-01-10,328.339996,315.429993,328.070007,325.309998,24942400,328.070007,1.76,0.7376738,7.5,10,1
2022-01-11,334.630005,325.279999,334.369995,326.779999,16226800,334.369995,1.76,0.7376738,7.5,11,1
2022-01-12,336.369995,330.029999,333.26001,335.179993,14104900,333.26001,1.76,0.7376738,7.5,12,1
2022-01-13,335.630005,325.76001,326.480011,334.980011,14797100,326.480011,1.76,0.7376738,7.5,13,1
2022-01-14,332.730011,321.209991,331.899994,321.790009,16868500,331.899994,1.76,0.7376738,7.5,14,1
2022-01-18,324.209991,317.640015,318.149994,323.290009,22645600,318.149994,1.76,0.7376738,7.5,18,1
2022-01-19,327.100006,319.329987,319.589996,319.579987,20814700,319.589996,1.76,0.7376738,7.5,19,1
2022-01-20,327.820007,315.980011,316.559998,323.899994,16925000,316.559998,1.76,0.7376738,7.5,20,1
2022-01-21,318.309998,303.040009,303.170013,314.809998,28710700,303.170013,1.76,0.7376738,7.5,21,1
2022-01-24,309.529999,289.01001,308.709991,297.839996,38878100,308.709991,1.76,0.7376738,7.5,24,1
2022-01-25,306.230011,297.579987,300.149994,299.950012,25108500,300.149994,1.76,0.7376738,7.5,25,1
2022-01-26,307.51001,290.850006,294.630005,307.01001,28348800,294.630005,1.76,0.7376738,7.5,26,1
2022-01-27,301.709991,294.26001,294.640015,297.75,21629900,294.640015,1.76,0.7376738,7.5,27,1
2022-01-28,301.899994,293.029999,301.709991,295.619995,21871600,301.709991,1.76,0.7376738,7.5,28,1
2022-01-31,313.790009,299.320007,313.26001,300.679993,21579500,313.26001,1.76,0.7376738,7.5,31,1
2022-02-01,319.660004,312.119995,319,314.559998,18023800,319,1.93,0.7386975,7.9,1,2
2022-02-02,328,316.869995,323,327.820007,58458300,323,1.93,0.7386975,7.9,2,2
2022-02-03,248,235.75,237.759995,244.649994,188119900,237.759995,1.93,0.7386975,7.9,3,2
2022-02-04,242.610001,230.110001,237.089996,234.970001,89342200,237.089996,1.93,0.7386975,7.9,4,2
2022-02-07,238.300003,224.009995,224.910004,237.699997,88613800,224.910004,1.93,0.7386975,7.9,7,2
2022-02-08,225.770004,216.149994,220.179993,220.850006,94729700,220.179993,1.93,0.7386975,7.9,8,2
2022-02-09,233.369995,222.210007,232,224.199997,86563300,232,1.93,0.7386975,7.9,9,2
2022-02-10,235,226.699997,228.070007,228.270004,49310400,228.070007,1.93,0.7386975,7.9,10,2
2022-02-11,230.419998,218.770004,219.550003,228.460007,46156900,219.550003,1.93,0.7386975,7.9,11,2
2022-02-14,221,214.779999,217.699997,219.309998,38184000,217.699997,1.93,0.7386975,7.9,14,2
2022-02-15,221.149994,215.059998,221,220.470001,42685500,221,1.93,0.7386975,7.9,15,2
2022-02-16,217.460007,212.360001,216.539993,212.410004,45817500,216.539993,1.93,0.7386975,7.9,16,2
2022-02-17,217.5,207.160004,207.710007,214.020004,38747500,207.710007,1.93,0.7386975,7.9,17,2
