Date,High,Low,Close,Adj Close,Volume,Open,Interest,Currency,Inflation,Month,Day
2007-05-18,3.951429,3.920357,3.929286,3.344289,621345200,3.936786,4.75,0.504178,2.7,5,18
2007-05-21,4.016071,3.930357,3.999286,3.403865,639892400,3.939643,4.75,0.504178,2.7,5,21
2007-05-22,4.0625,4.000357,4.055,3.451286,572409600,4.0175,4.75,0.504178,2.7,5,22
2007-05-23,4.107143,4.021071,4.031786,3.431527,911374800,4.072143,4.75,0.504178,2.7,5,23
2007-05-24,4.087857,3.941786,3.953214,3.364653,887362000,4.028929,4.75,0.504178,2.7,5,24
2007-05-25,4.063571,3.982143,4.057857,3.453716,632959600,4,4.75,0.504178,2.7,5,25
2007-05-29,4.102143,4.024643,4.083929,3.475907,645694000,4.0875,4.75,0.504178,2.7,5,29
2007-05-30,4.245714,4.054643,4.241786,3.610264,1478444800,4.082143,4.75,0.504178,2.7,5,30
2007-05-31,4.363214,4.269286,4.328214,3.683822,1297066400,4.288214,4.75,0.504178,2.7,5,31
2007-06-01,4.328214,4.224643,4.228571,3.599015,885262000,4.325,5.1,0.5032468,2.7,6,1
2007-06-04,4.3475,4.210714,4.333214,3.688078,886673200,4.236786,5.1,0.5032468,2.7,6,4
2007-06-05,4.381786,4.303571,4.381071,3.72881,920785600,4.336071,5.1,0.5032468,2.7,6,5
2007-06-06,4.430357,4.355357,4.415714,3.758295,1112241200,4.367857,5.1,0.5032468,2.7,6,6
2007-06-07,4.5575,4.399643,4.431071,3.771367,1915079600,4.463929,5.1,0.5032468,2.7,6,7
2007-06-08,4.493929,4.3675,4.446071,3.784133,1241682400,4.493571,5.1,0.5032468,2.7,6,8
2007-06-11,4.505357,4.269286,4.2925,3.653425,1874258400,4.5,5.1,0.5032468,2.7,6,11
2007-06-12,4.346786,4.225357,4.299286,3.659201,1426566400,4.2625,5.1,0.5032468,2.7,6,12
2007-06-13,4.328214,4.121429,4.196429,3.571658,1721353200,4.326786,5.1,0.5032468,2.7,6,13
2007-06-14,4.266071,4.157857,4.241071,3.609653,973266000,4.185714,5.1,0.5032468,2.7,6,14
2007-06-15,4.309643,4.280714,4.303571,3.662848,811218800,4.307857,5.1,0.5032468,2.7,6,15
2007-06-18,4.470714,4.376429,4.4675,3.802373,910604800,4.402857,5.1,0.5032468,2.7,6,18
2007-06-19,4.464643,4.389643,4.416429,3.758903,943026000,4.453214,5.1,0.5032468,2.7,6,19
2007-06-20,4.452143,4.339286,4.341071,3.694765,897512000,4.423929,5.1,0.5032468,2.7,6,20
2007-06-21,4.438929,4.311429,4.425,3.766201,867045200,4.346429,5.1,0.5032468,2.7,6,21
2007-06-22,4.444643,4.370714,4.392857,3.738841,631876000,4.423214,5.1,0.5032468,2.7,6,22
2007-06-25,4.4675,4.323571,4.369286,3.71878,965403600,4.435357,5.1,0.5032468,2.7,6,25
2007-06-26,4.428571,4.24,4.273214,3.637011,1345005200,4.427857,5.1,0.5032468,2.7,6,26
2007-06-27,4.358571,4.259286,4.353214,3.7051,974696800,4.3075,5.1,0.5032468,2.7,6,27
2007-06-28,4.374643,4.285714,4.305714,3.664672,838143600,4.37,5.1,0.5032468,2.7,6,28
2007-06-29,4.428571,4.324643,4.358571,3.70966,1137841600,4.356071,5.1,0.5032468,2.7,6,29
2007-07-02,4.360357,4.260714,4.330714,3.685949,994862400,4.323214,5,0.4916044,2.4,7,2
